trial,state,value,lr,change_penalty,massive_reward,early_finish_bonus,empty_penalty,ppo_epochs,ppo_clip,entropy_coef,success_rate_std_pct,total_change_pct,total_change_std_pct,empty_before_pct,empty_before_std_pct,empty_after_pct,empty_after_std_pct,net_empty_change_pct,net_empty_change_std_pct
0,TrialState.COMPLETE,100.0,6.161121626047505e-06,0.0681685568412736,260.0,12.0,6.0,2,0.16708338492770575,0.001606480097968555,0.0,58.595312386751175,0.8043183871722508,55.000488832592964,0.9607051363859279,55.23447286337614,1.031502580266524,0.23398403078317642,1.4292412237574952
1,TrialState.COMPLETE,100.0,2.1416520346251815e-06,0.025754874925575655,340.0,13.0,11.0,4,0.27314639768768256,0.007557697153807675,0.0,59.211816377937794,1.0008669211926027,55.04540991038084,0.9588115212659282,53.88466775417328,1.3019932244407046,-1.1607421562075615,1.5890180423158677
2,TrialState.COMPLETE,100.0,7.914508358790253e-06,0.020515854651752503,100.0,1.0,7.0,4,0.11582561351884356,0.0019848405493852507,0.0,58.84033203125,0.8849505720960963,55.05878921598196,0.9172717459229216,53.415234331041574,0.9622767963182901,-1.6435548849403858,1.2689954530696927
3,TrialState.COMPLETE,100.0,1.9862252514854117e-06,0.307781021373761,400.0,9.0,12.0,5,0.10104110382153886,0.008723236507951666,0.0,58.92548870295286,0.8175493720059859,54.99023415148258,0.936786847840765,54.68544941395521,0.7948062778881698,-0.30478473752737045,1.064208276557447
4,TrialState.COMPLETE,100.0,5.964404642547372e-05,0.013610182202522633,200.0,18.0,6.0,5,0.11382276670903908,0.016965292281781143,0.0,50.01367200165987,2.404127343274716,55.044531263411045,0.9814593536394838,47.23603516817093,1.4995092025689072,-7.808496095240116,1.4243074916278675
5,TrialState.COMPLETE,100.0,9.871806672614803e-06,0.470450261866537,300.0,0.0,18.0,3,0.16286373405455473,0.001877713810046771,0.0,58.84667992591858,0.952949010859547,55.04267606884241,0.9170678076249642,53.87480419129133,1.1013297930048027,-1.1678718775510788,1.3784503142262547
6,TrialState.COMPLETE,100.0,2.3377756434620972e-05,0.19453311456263978,160.0,15.0,20.0,3,0.23255243580794885,0.002581916385718161,0.0,61.68222676962614,0.7295174160462943,55.063086077570915,0.8795871283681688,47.54550762474537,1.0156626347704079,-7.517578452825546,1.2323211482827958
7,TrialState.COMPLETE,100.0,2.63314183561807e-06,0.04782795551814721,280.0,13.0,17.0,2,0.20131478297149347,0.003826384569572086,0.0,58.86865250766277,0.8563120259965843,54.98203106224537,0.8766552998093563,55.65087929368019,1.0003042163550464,0.6688482314348221,1.4262882820959202
8,TrialState.COMPLETE,100.0,7.968157288618035e-06,0.07725943485407552,140.0,1.0,7.0,4,0.16717788325233635,0.002877219447845554,0.0,60.731347911059856,0.7241078916805558,54.971972927451134,0.9482305384155008,50.673632491379976,0.8732131899979991,-4.2983404360711575,1.2684469078096885
9,TrialState.COMPLETE,100.0,1.3165507917048528e-05,0.07836448775773175,240.0,18.0,11.0,5,0.23738439726343144,0.005288605116935223,0.0,61.015917621552944,0.9414853311226549,54.99414075165987,0.9185083818735709,48.67294903844595,0.8999592480185586,-6.321191713213921,1.3794493011273874
10,TrialState.COMPLETE,100.0,2.6098596702658834e-06,0.010454302576022543,220.0,10.0,14.0,4,0.2682103439742559,0.0020099714279099667,0.0,59.66123066842556,0.7321111190056647,55.05976527929306,0.8656645254751054,53.74052755534649,0.9481109781775806,-1.3192377239465714,1.2381868687992685
11,TrialState.COMPLETE,100.0,7.120594733670976e-05,0.02966117620530366,200.0,7.0,9.0,2,0.2913757859762316,0.0016625910909688997,0.0,61.60712908953428,1.117654553731592,55.08251965045929,0.8672443463891484,46.101464461535215,1.1713227622656812,-8.981055188924074,1.4009718283255232
12,TrialState.COMPLETE,100.0,4.340687515367197e-05,0.011282633937580794,340.0,4.0,18.0,3,0.18558643088936164,0.012649596038909881,0.0,61.335058361291885,0.7453560186193282,55.07978517562151,0.9768106082676139,48.30712899565697,1.0127902059025267,-6.772656179964542,1.0780756649945107
13,TrialState.COMPLETE,100.0,1.9698143568675372e-06,0.18005993036885368,160.0,9.0,4.0,4,0.1333031513154323,0.047734182236853835,0.0,60.592480301856995,0.6185295597476733,55.02294920384884,0.9260186252983703,50.9395506978035,0.6437945176352876,-4.0833985060453415,1.1282513299835804
14,TrialState.COMPLETE,100.0,7.097183012637979e-06,0.017088541457456252,260.0,7.0,8.0,3,0.29555470769331726,0.009257810664692166,0.0,59.68017600476742,0.7463080075047636,55.01035150140524,0.9878183826726259,52.61484358459711,1.1359574161336627,-2.3955079168081284,1.4024213966055292
15,TrialState.COMPLETE,100.0,2.355391874846504e-06,0.03633123567546767,200.0,2.0,15.0,2,0.25813983497200543,0.024257053543069555,0.0,58.688672445714474,0.9249147309449243,54.9825194478035,0.9503029699344151,54.30292967706919,0.7895627003742416,-0.6795897707343102,1.1243486979874893
16,TrialState.COMPLETE,100.0,1.3041879807701382e-06,0.8366405655972196,340.0,18.0,3.0,2,0.21762957228164187,0.03296206853264843,0.0,58.409668281674385,0.9877267915610375,54.98925756663084,0.9514155407567844,55.64999956637621,0.9041489573514226,0.660741999745369,1.2169514165689255
17,TrialState.COMPLETE,100.0,2.744333956966656e-06,0.057982818896375986,240.0,14.0,4.0,2,0.15734057528540418,0.027915834863401472,0.0,59.453613348305225,0.7921883701711023,54.998828023672104,0.973522879874638,53.19785203784704,0.6716860214154311,-1.8009759858250618,1.1010659765097994
18,TrialState.COMPLETE,100.0,1.2801931360559742e-05,0.0196644449965614,380.0,17.0,3.0,2,0.10694184139817425,0.049498489291002715,0.0,61.22636720538139,0.8386060518173253,54.99052729457617,0.9225434789725417,47.01386712491512,0.6435961583905355,-7.976660169661045,1.0740403345152527
19,TrialState.COMPLETE,100.0,2.1439644311317487e-06,0.36017865159769236,380.0,11.0,2.0,2,0.2014261310410222,0.0021298176997224865,0.0,58.745898716151714,0.7998364966640876,55.013378858566284,0.9968159716410154,56.03525400161743,0.9424058126034982,1.0218751430511475,1.37683662392614
20,TrialState.COMPLETE,100.0,5.5283381987302245e-06,0.018865242052888878,140.0,11.0,5.0,2,0.14504818009249307,0.019436445990260624,0.0,59.70517594367266,0.8145027362737101,54.94658228009939,0.968271977628126,52.19384774565697,0.740087821948614,-2.7527345344424248,1.2100911134754642
21,TrialState.COMPLETE,100.0,4.186135495487355e-06,0.9681362713130391,220.0,10.0,2.0,2,0.17578891129347277,0.001410622291917178,0.0,58.96992169320583,0.8324302703610683,55.04794903099537,0.9282617423088787,55.705078169703484,0.9798333925375523,0.6571291387081146,1.37343282409399
22,TrialState.COMPLETE,100.0,3.7357580489707368e-06,0.04637986527904712,380.0,1.0,15.0,4,0.28460769173213607,0.004162227191408716,0.0,59.8743162304163,0.8231874904192127,55.03183599561453,0.9847343514256234,52.74042975157499,1.2256849173369713,-2.2914062440395355,1.602220962046231
23,TrialState.COMPLETE,100.0,3.665315620364157e-06,0.239131370567472,200.0,5.0,19.0,3,0.1703023143507237,0.017167427012398172,0.0,59.391894564032555,0.8471408872272217,54.99101545661688,0.9322069499003176,53.16445305943489,0.7748500707022692,-1.8265623971819878,1.0538973415660005
24,TrialState.COMPLETE,100.0,2.2030235247192035e-06,0.055101090070123725,300.0,7.0,20.0,4,0.23970947736572767,0.0015140752161711874,0.0,59.3652343377471,0.8589641008439202,54.995898343622684,0.9311028252419841,54.267773404717445,0.9648115719332817,-0.7281249389052391,1.3389705208099922
25,TrialState.COMPLETE,100.0,4.778610249084886e-06,0.08127535088094016,280.0,3.0,16.0,4,0.11214635577449275,0.0016670170283229146,0.0,60.79990215599537,0.6359413911364994,54.93496064096689,0.931924661517466,50.297362972050905,0.6524752820241019,-4.637597668915987,1.0618709450353694
26,TrialState.COMPLETE,100.0,2.4310029464391643e-05,0.12696169424101203,220.0,0.0,12.0,5,0.19073248992988712,0.010577588201960206,0.0,44.40615262836218,3.5075867828494913,55.028906017541885,0.9190485719466028,47.63886719942093,1.018204791729064,-7.390038818120956,0.9985972938058936
27,TrialState.COMPLETE,100.0,6.43430109911229e-06,0.10138734483087443,120.0,1.0,20.0,4,0.15646170787171473,0.002826136036570446,0.0,59.06064432114363,0.8150195761330481,55.08486308157444,0.8805886860960837,54.084765538573265,1.026127913577562,-1.000097543001175,1.394540575118657
28,TrialState.COMPLETE,100.0,2.8530069997918238e-05,0.9630923802251782,300.0,15.0,9.0,3,0.2367566474966327,0.003834324541861346,0.0,44.29531229659915,2.4683538940543195,55.00673841685057,0.9549809418337004,48.511718455702066,1.3565588487351856,-6.4950199611485,1.2481943723581104
29,TrialState.COMPLETE,100.0,2.2969937400509578e-05,0.07516979991747709,280.0,10.0,5.0,5,0.2674071597987452,0.004458454904157176,0.0,56.960253939032555,2.0699302410514524,54.950781129300594,0.9803841436928142,45.53105462342501,1.6033591790382706,-9.419726505875587,1.7131276018045678
30,TrialState.COMPLETE,100.0,7.80810500519926e-05,0.01648134192217167,320.0,16.0,15.0,3,0.19388540357864098,0.001014109933635427,0.0,45.288281217217445,1.4852199934799934,54.98994167894125,0.9303798375777638,44.60781238973141,1.5247826939031897,-10.382129289209843,1.0983058351323116
31,TrialState.COMPLETE,100.0,5.090751846623976e-06,0.05309817996705839,360.0,18.0,8.0,3,0.11137136469357103,0.04765322910656427,0.0,61.472265645861626,0.6623377992842038,55.098828338086605,0.8943617670452477,48.53789055719972,0.6936910564037044,-6.5609377808868885,1.139855502154604
32,TrialState.COMPLETE,100.0,6.266401945434771e-05,0.25811695552266173,140.0,3.0,3.0,5,0.2795149510042035,0.011586331035799539,0.0,49.4384765252471,0.8142059676497888,55.01689460128546,0.8862274609293106,50.80322230234742,0.7851050675301273,-4.213672298938036,0.6134986798222071
33,TrialState.COMPLETE,100.0,7.091209417198525e-06,0.0607333431388731,340.0,17.0,18.0,3,0.1361949800716072,0.039873498756358025,0.0,61.30869131535292,0.7332370932046477,55.0772463157773,0.9184554979604727,47.69121080636978,0.6562066092487949,-7.38603550940752,1.1228138930633917
34,TrialState.COMPLETE,100.0,1.9306710161285143e-06,0.09659896391404107,100.0,2.0,11.0,5,0.1272218402833191,0.014627918172484527,0.0,60.23447249084711,0.6112567532202836,54.96367182582617,0.9639456864967141,51.393066085875034,0.5987140701591477,-3.5706057399511337,1.1358390984981448
35,TrialState.COMPLETE,100.0,2.3687944500062378e-05,0.515398389281692,180.0,19.0,2.0,3,0.11441516475853526,0.0017308878756509471,0.0,55.684472769498825,1.7753077550236245,55.024706944823265,1.0138316271729606,49.36015624552965,1.411471662105724,-5.664550699293613,1.454414782614875
36,TrialState.COMPLETE,100.0,1.4832063070074293e-06,0.060605527922230014,260.0,12.0,5.0,2,0.10679309409883592,0.005264779531649867,0.0,58.462890572845936,0.8858161848224967,54.90839872509241,0.9410221192857429,56.087304316461086,0.8010551604928121,1.1789055913686752,1.2741585427670006
37,TrialState.COMPLETE,100.0,9.189303804062675e-06,0.4435011240314346,180.0,19.0,15.0,5,0.10736797968753112,0.030427801830608458,0.0,59.94345724582672,1.2350260361677123,55.03525383770466,0.911277034842586,46.37158179655671,0.779998165794614,-8.663672041147947,1.1785520857683571
38,TrialState.COMPLETE,100.0,3.479350779920853e-06,0.019383039732294566,400.0,3.0,17.0,3,0.27145425699996495,0.011493144086402297,0.0,58.970019556581974,0.9691204975426505,55.016210824251175,0.9033750895855073,54.57900356501341,1.1554971865053405,-0.43720725923776627,1.5445893124606158
39,TrialState.COMPLETE,100.0,6.766429624703447e-05,0.014018227193213943,380.0,20.0,10.0,4,0.18141188437876965,0.00402188113542017,0.0,46.10224612057209,2.3308253070949534,55.02294946461916,0.9970286170122522,42.538574151694775,0.7699157293121067,-12.484375312924385,0.7562001472602918
40,TrialState.COMPLETE,100.0,7.004174043176317e-06,0.014006724211266258,240.0,5.0,15.0,5,0.10029416791333806,0.02509150593087824,0.0,61.137987934052944,0.81502107112941,55.00361308455467,0.9308468396493643,46.92060545086861,0.675127074429055,-8.083007633686066,1.069029724727867
41,TrialState.COMPLETE,100.0,1.3785523323164442e-05,0.19284663968329335,360.0,5.0,2.0,5,0.1967340677715831,0.004602185851909624,0.0,61.027148589491844,0.7744961789454027,54.94921859353781,0.9167647844767622,49.68222642317414,1.0528518560824545,-5.266992170363665,1.0553766337502022
42,TrialState.COMPLETE,100.0,1.301748667226861e-05,0.31022790515098103,400.0,11.0,2.0,3,0.24376906962940945,0.0026362196422991895,0.0,60.92666011303663,0.755282096560273,54.95146505534649,1.0588746953533037,49.60380855947733,1.1232438308624206,-5.34765649586916,1.44327905563823
43,TrialState.COMPLETE,100.0,6.977206699795717e-05,0.6733391239363347,340.0,13.0,20.0,2,0.12557915529153735,0.03472424436831785,0.0,54.375390857458115,1.6289629310297262,55.03876928240061,0.9190065912755828,42.127636820077896,1.1882900076453515,-12.911132462322712,1.1589405447132781
44,TrialState.COMPLETE,100.0,1.5621479721397272e-05,0.01524928910266887,400.0,10.0,2.0,5,0.15083956729711756,0.004963412964985646,0.0,57.53017585724592,1.7554214435334272,55.02089835703373,0.8632016801813566,46.26337917521596,1.2808148015809273,-8.75751918181777,1.338581023760222
45,TrialState.COMPLETE,100.0,2.081805296996135e-06,0.015069952113739717,180.0,18.0,7.0,5,0.27362296306392364,0.020992248549965575,0.0,59.25419945269823,0.8080750371652337,54.98183585703373,0.9105770225075609,53.42304717749357,0.824397326167963,-1.5587886795401573,1.1591540789259003
46,TrialState.COMPLETE,100.0,3.7629914865925714e-05,0.014067346858427565,180.0,11.0,15.0,4,0.16593032955071413,0.009960395665922328,0.0,58.81933607161045,0.9889042325691533,54.94033232331276,1.0147678297965401,44.81591774150729,0.6348904332194821,-10.124414581805468,0.9887911350247549
47,TrialState.COMPLETE,100.0,6.879516638917851e-05,0.017824510491051843,280.0,17.0,15.0,3,0.14933206705571034,0.03413220357656181,0.0,54.1294919885695,2.635922697541337,55.07890626788139,0.992893189895675,44.868554808199406,1.4840262914829039,-10.210351459681988,1.83408759903779
48,TrialState.COMPLETE,100.0,3.612978673512964e-05,0.5583401084241877,160.0,16.0,5.0,2,0.1793325628176858,0.004315961532783324,0.0,52.72060543298721,2.042037258126477,55.02070304006338,0.9926012676781897,47.03164046630263,2.101042197287887,-7.989062573760748,1.9371500256180905
49,TrialState.COMPLETE,100.0,3.872440942933668e-06,0.05809765579005677,260.0,15.0,11.0,4,0.1664336825941191,0.0055201464585008814,0.0,58.77988323569298,0.9178603375693984,55.00673849135637,0.9144467659099142,55.12636739760637,1.0872551960406511,0.11962890625,1.453884404439806
